BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 0.0.0.0          100.100.243.130                        0 65084 64601 65063 64660 64840 16509 i
*> 0.0.0.0          100.100.243.130                        0 65084 64601 65063 i
*> 10.0.0.0         100.100.243.130                        0 65084 64601 64637 64600 64623 i
*> 10.0.0.0/20      100.100.243.130                        0 65084 64601 i
*> 10.0.0.0/32      100.100.243.130                        0 65084 64601 i
*> 10.0.0.136/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.137/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.139/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.140/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.141/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.142/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.144/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.145/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.148/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.149/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.152/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.153/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.154/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.155/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.156/32    100.100.243.130                        0 65084 64601 i
*> 10.0.0.157/32    100.100.243.130                        0 65084 64601 i
*> 10.0.11.32/31    100.100.243.130                        0 65084 64601 i
*> 10.0.11.64/30    100.100.243.130                        0 65084 64601 i
*> 10.0.11.68/30    100.100.243.130                        0 65084 64601 i
*> 10.0.11.72/30    100.100.243.130                        0 65084 64601 i
*> 10.0.11.76/30    100.100.243.130                        0 65084 64601 i
*> 10.0.11.80/30    100.100.243.130                        0 65084 64601 i
*> 10.0.11.88/30    100.100.243.130                        0 65084 64601 i
*> 10.0.11.92/30    100.100.243.130                        0 65084 64601 i
*> 10.0.16.0/20     100.100.243.130                        0 65084 64601 i
*> 10.0.34.0/23     100.100.243.130                        0 65084 64601 ?
*> 10.0.36.0/22     100.100.243.130                        0 65084 64601 ?
*> 10.0.48.0/20     100.100.243.130                        0 65084 64601 i
*> 10.0.64.0/20     100.100.243.130                        0 65084 64601 i
*> 10.0.64.32/29    100.100.243.130                        0 65084 64601 i
*> 10.0.64.40/29    100.100.243.130                        0 65084 64601 i
*> 10.0.64.131/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.132/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.133/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.134/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.135/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.136/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.137/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.138/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.139/32   100.100.243.130                        0 65084 64601 i
*> 10.0.64.140/32   100.100.243.130                        0 65084 64601 i
*> 10.0.64.141/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.142/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.143/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.144/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.145/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.146/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.147/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.148/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.149/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.150/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.151/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.152/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.153/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.154/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.155/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.156/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.157/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.158/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.159/32   100.100.243.130                        0 65084 64601 i
*> 10.0.64.160/32   100.100.243.130                        0 65084 64601 i
*> 10.0.64.161/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.162/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.163/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.164/32   100.100.243.130                        0 65084 64601 64614 i
*> 10.0.64.165/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.166/32   100.100.243.130                        0 65084 64601 64613 i
*> 10.0.64.167/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.168/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.169/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.170/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.171/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.172/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.173/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.64.174/32   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.72.0/24     100.100.243.130                        0 65084 64601 i
*> 10.0.72.0/28     100.100.243.130                        0 65084 64601 i
*> 10.0.72.16/28    100.100.243.130                        0 65084 64601 i
*> 10.0.73.0/28     100.100.243.130                        0 65084 64601 i
*> 10.0.74.0/24     100.100.243.130                        0 65084 64601 i
*> 10.0.75.192/28   100.100.243.130                        0 65084 64601 i
*> 10.0.75.208/28   100.100.243.130                        0 65084 64601 i
*> 10.0.80.0/20     100.100.243.130                        0 65084 64601 i
*> 10.0.80.17/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.18/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.19/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.20/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.21/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.22/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.35/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.36/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.37/32    100.100.243.130                        0 65084 64601 64620 i
